#,Quantity,PartType,Designator,Description,Footprint,MANUFACTURER,MANUFACTURER #,DISTRIBUTOR,DISTRIBUTOR #,
1,2,9.0pF,"C47, C48",CAP CER 9.0PF 50V NP0 0402,0402_N2A-C,Murata Electronics North America,GRM1555C1H9R0CA01D,Digi-Key,490-8232-1-ND,
2,2,22pF,"C17, C20",CAP CER 22PF 50V C0G/NP0 0402,0402_N2A-C,Murata Electronics North America,GJM1555C1H220JB01D,Digi-Key,490-14444-1-ND,
3,5,100pF,"C31, C32, C37, C38, C49",CAP CER 100PF 5% 50V NP0 0402,0402_N2A-C,AVX Corporation,04025A101JAT2A,Digi-Key,478-1082-1-ND,
4,3,220pF,"C28, C30, C45",CAP CER 220PF 50V 5% NP0 0402,0402_N2A-C,Panasonic Electronic Components,ECJ-0EC1H221J,Digi-Key,PCC221CQCT-ND,
5,3,4.7nF,"C10, C36, C42",CAP CER 4700PF 25V X7R 0402,0402_N2A-C,Murata Electronics North America,GRM155R71E472KA01D,Digi-Key,490-1309-1-ND,
6,1,0.01uF,C4,CAP CER .01UF 50V X7R 0402,0402_N2A-C,Kemet,C0402C103K5RACTU,Digi-Key,399-3066-1-ND,
7,20,0.1uF,"C1, C3, C7, C8, C12, C18, C19, C21, C22, C24, C25, C26, C27, C29, C33, C34, C39, C40, C44, C46",CAP CER .10UF 25V X5R 0402,0402_N2A-C,Taiyo Yuden,TMK105BJ104KV-F,Digi-Key,587-1456-1-ND,
8,1,1.0uF,C9,CAP CER 1UF 10V X5R 0402,0402_N2A-C,Murata Electronics North America,GRM155R61A105KE15D,Digi-Key,490-3890-1-ND,
9,6,10uF,"C13, C14, C15, C16, C35, C41",CAP CER 10UF 16V X5R 0603,0603_N2A-C,Murata Electronics North America,GRT188R61C106KE13D,Digi-Key,490-12317-1-ND,
10,4,10uF,"C2, C5, C6, C43",CAP CER 10UF 25V X5R 0805,0805_N2A-C,Murata Electronics North America,GRM21BR61E106KA73K,Digi-Key,490-5523-1-ND,
11,2,0.0,"R5, R9",RES 0.0 OHM 5% 1/10W 0603,0603_N2A-R,Vishay Dale,CRCW06030000Z0EA,Digi-Key,541-0.0GCT-ND,
12,7,0.0,"R7, R126, R127, R130, R131, R137, R138",RES SMD 0 OHM JUMPER 1/16W 0402,0402_N2A-R,Vishay Dale,CRCW04020000Z0ED,Digi-Key,541-0.0JCT-ND,
13,1,0.010,R18,RES SMD 0.01 OHM 1% 1/4W 0805,0805_N2A-R,Yageo,PF0805FRM7W0R01L,Digi-Key,311-0.01NUCT-ND,
14,4,60.4,"R128, R129, R132, R133",RES 60.4 OHM 1% 1/16W 0402,0402_N2A-R,Vishay Dale,CRCW040260R4FKED,Digi-Key,541-60.4LCT-ND,
15,1,240,R104,RES 240 OHM 1% 1/16W 0402,0402_N2A-R,Vishay Dale,CRCW0402240RFKED,Digi-Key,541-240LCT-ND,
16,1,374,R109,RES 374 OHM 1% 1/16W 0402,0402_N2A-R,Vishay Dale,CRCW0402374RFKED,Digi-Key,541-374LCT-ND,
17,8,470,"R16, R29, R42, R55, R75, R88, R101, R108",RES SMD 470 OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-07470RL,Digi-Key,311-470LRCT-ND,
18,1,866,R106,RES 866 OHM 1% 1/16W 0402,0402_N2A-R,Vishay Dale,CRCW0402866RFKED,Digi-Key,541-866LCT-ND,
19,10,1.00K,"R21, R23, R30, R43, R56, R77, R90, R103, R122, R134",RES SMD 1K OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-071KL,Digi-Key,311-1.00KLRCT-ND,
20,1,2.00K,R117,RES 2.00K OHM 1% 1/16W 0402,0402_N2A-R,Vishay Dale,CRCW04022K00FKED,Digi-Key,541-2.00KLCT-ND,
21,7,2.20K,"R33, R46, R59, R72, R85, R98, R107",RES SMD 2.20K OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-072K2L,Digi-Key,311-2.20KLRCT-ND,
22,2,4.70K,"R3, R20",RES 4.70K OHM 1% 1/16W 0402,0402_N2A-R,Vishay Dale,CRCW04024K70FKED,Digi-Key,541-4.70KLCT-ND,
23,1,6.49K,R135,RES 6.49K OHM 1% 1/8W 0805,0805_N2A-R,Yageo,RC0805FR-076K49L,Digi-Key,311-6.49KCRCT-ND,
24,1,8.06K,R118,RES SMD 8.06K OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-078K06L,Digi-Key,311-8.06KLRCT-ND,
25,1,8.87K,R8,RES SMD 8.87K OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-078K87L,Digi-Key,311-8.87KLRCT-ND,
26,32,10.0K,"R2, R4, R22, R24, R27, R31, R32, R40, R44, R45, R53, R57, R58, R71, R74, R84, R87, R97, R100, R105, R110, R111, R113, R114, R115, R119, R120, R121, R123, R136, R139, R140",RES SMD 10K OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-0710KL,Digi-Key,311-10.0KLRCT-ND,
27,2,22.1K,"R12, R25",RES SMD 22.1K OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-0722K1L,Digi-Key,311-22.1KLRCT-ND,
28,1,27.0K,R6,RES SMD 27.0K OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-0727KL,Digi-Key,311-27.0KLRCT-ND,
29,20,100K,"R15, R17, R19, R28, R34, R41, R47, R54, R60, R67, R73, R76, R80, R86, R89, R93, R99, R102, R112, R116",RES SMD 100K OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-07100KL,Digi-Key,311-100KLRCT-ND,
30,1,124K,R11,RES SMD 124K OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-07124KL,Digi-Key,311-124KLRCT-ND,
31,1,1.0M,R1,RES 1.00M OHM 1% 1/16W 0402,0402_N2A-R,Yageo,RC0402FR-071ML,Digi-Key,311-1.00MLRCT-ND,
32,1,60R,FB1,FERRITE BEAD 60 OHM 0603 1LN,0603_N2A-FB,Wurth ELectronics Inc.,74279228600,Digi-Key,732-6119-1-ND,
33,1,3.3uH,L1,FIXED IND 3.3UH 3.3A 27 MOHM SMD,SRN5040,Bourns Inc.,SRN5040-3R3M,Digi-Key,SRN5040-3R3MCT-ND,
34,1,47uH,L4,FIXED IND 47UH 170mA 3.7 OHM SMD,0805_N2A-L,TDK Corporation,MLZ2012M470WT000,Digi-Key,445-6400-1-ND,
35,6,0.75A,"F2, F3, F4, F5, F6, F7",PTC 16V 0.75Ahold 1.5Atrip 1206,1206-F1,Ruilon,SMD1206P075TF/16,Ruilon,SMD1206P075TF/16,
36,1,2.6A,F1,PTC RESTTBLE 2.6A 16V CHIP 1812,1812_N2A-F,Bel Fuse Inc,0ZCG0260BF2B,Digi-Key,507-1780-1-ND,
37,2,36mA,"F8, F9",PTC 16V 36mAhold 91mAtrip 0603,0603_N2A-F,Murata Electronics North America,PRG18BB330MS1RB,Digi-Key,490-12121-1-ND,
38,6,16.2V,"V1, V2, V3, V4, V5, V6",VARISTOR 16.2V 20A 0402,0402_N2A-V,Bourns Inc.,CG0402MLA-14KG,Digi-Key,CG0402MLA-14KGCT-ND,
39,1,B340LA,D1,DIODE SCHOTTKY 40V 3A SMA 2.3 MM HEIGHT,SMA,Diodes Incorporated,B340LA-13-F,Digi-Key,B340LA-FDICT-ND,
40,1,SMBJ14A,D2,TVS DIODE 14VWM 23.2VC SMB,SMB,Littlefuse Inc.,SMBJ14A,Digi-Key,SMBJ14ALFCT-ND,
41,1,MM3Z16V,D3,DIODE ZENER 16V 300MW SOD323,SOD-323,ON Semiconductor,MM3Z16VT1G,Digi-Key,MM3Z16VT1GOSCT-ND,
42,1,3.3V,D4,DIODE ZENER 3.3V 300MW SOD523,SOD-523F,Diodes Incorporated,BZT52C3V3T-7,Digi-Key,BZT52C3V3T-7DICT-ND,
43,2,SP1002-02,"D11, D12",TVS DIODE 6VWM 16VC SC70-5,SC-70-5,Littlefuse Inc.,SP1002-02JTG,Digi-Key,F4238CT-ND,
44,6,BAT54,"D5, D6, D7, D8, D9, D10",DIODE SCHOTTKY 30V 200MA SOD523F,SOD-523F,Fairchild Semiconductor,BAT54XV2,Digi-Key,BAT54XV2CT-ND,
45,1,TVS 22V,V7,TVS DIODE 22V 40VC SC70-3,SOT-323,ON Semiconductor,MMBZ27VAWT1G,Digi-Key,MMBZ27VAWT1GOSCT-ND,
46,2,IRFTS9342,"Q1, Q6",MOSFET P-CH 30V 5.8A 6TSOP,TSOP6-6,Infineon Technologies,IRFTS9342TRPBF,Digi-Key,IRFTS9342TRPBFCT-ND,
47,1,MMBT3906W,Q2,TRANS PNP 40V 0.2A SOT323,SOT-323,On Semiconductor,MMBT3906WT1G,Digi-Key,MMBT3906WT1GOSCT-ND,
48,5,IRLML5203,"Q3, Q4, Q8, Q12, Q16",MOSFET P-CH 30V 3A SOT-23,SOT-23,International Rectifier,IRLML5203TRPBF,Digi-Key,IRLML5203TRPBFCT-ND,
49,1,FSB660A,Q32,TRANSISTOR PNP 60V 2A SSOT-3,SOT-23,Fairchild Semiconductor,FSB660A,Digi-Key,FSB660ACT-ND,
50,4,BSS138PW,"Q5, Q33, Q34, Q35",MOSFET N-CH 60V 320MA SOT323,SOT-323,NXP Semiconductor,"BSS138PW,115",Digi-Key,568-10309-1-ND,
51,7,MMBT3904,"Q7, Q9, Q13, Q17, Q23, Q27, Q31",TRANS NPN 40V 0.2A SOT323,SOT-323,ON Semiconductor,MMBT3904WT1G,Digi-Key,MMBT3904WT1GOSCT-ND,
52,3,IRLML0060,"Q22, Q26, Q30",MOSFET N-CH 60V 2.7A SOT-23-3,SOT-23,International Rectifier,IRLML0060TRPBF,Digi-Key,IRLML0060TRPBFCT-ND,
53,1,TPS54328,U1,IC REG BUCK ADJ 3A SYNC 8SOPWR,SO-8-1,Texas Instruments,TPS54328DDAR,Digi-Key,296-28080-1-ND,
54,2,LM393,"U3, U6",IC COMPARATOR DUAL 8-UFSON 2X2,DFN-8-1,STMicroelectronics,LM393QT,Digi-Key,497-11126-1-ND,
55,2,TJA1051,"U9, U10",IC TXRX CAN HIGH SPEED 8HVSON,HVSON-8-1,NXP Semiconductors,"TJA1051TK/3,118",Digi-Key,568-8686-1-ND,
56,1,LM317L,U5,IC REG LDO ADJ 0.1A SOT89-3,SOT-89,Texas Instruments,LM317LCPK,Digi-Key,296-26093-1-ND,
57,1,TH8056,U11,IC TXRX CAN SGL WIRE 8SOIC,SO-8,MELEXIS,TH8056KDC-AAA-008-TU,Digi-Key,TH8056KDC-AAA-008-TU-ND,
58,1,MCP2515,U12,IC CAN CONTROLLER W/SPI 20TSSOP,TSSOP-20,Microchip Technology,MCP2515T-I/ST,Digi-Key,MCP2515T-I/STCT-ND,
59,1,ZXCT1109,U2,IC CURR MONITOR HIGH SIDE SOT23,SOT-23,Diodes Incorporated,ZXCT1109SA-7,Digi-Key,ZXCT1109SA-7DICT-ND,
60,2,TJA1027,"U7, U8",IC TXRX LIN 2.2/SAE J2602 8-HVSON,HVSON-8-1,NXP Semiconductors,TJA1027TK/20/1J,Digi-Key,568-13612-1-ND,
61,1,16MHz,X1,CRYSTAL 16.0000MHZ 10PPM 9PF 60 OHM,XTAL-SMD2.5X3.2,EPSON,TSX-3225 16.0000MF18X-AC3,Digi-Key,SER3636CT-ND,
62,1,OBD2,J1,OBD2 RT-ANGLE MALE PIN,OBD2_RT_MALE,Macchina,CCBDM205,Macchina,CCBDM205,
63,2,CONN HDR36,"J3, J4",CONN HDR BRKWAY 36POS 2MM 30GOLD,3-5176264-2,TE,"3-5176264-2 
",Digi-Key,"3-5176264-2-ND 
",
64,1,HDR26,J5,CONN HEADER 26POS RA THOLE,HDR26RA2MM,HIROSE,DF11-26DP-2DS(52),Digi-Key,H2876-ND,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,STICKER,,,,,,,,,
